tas;"	Year"; Month; Country; ISO3; ISO2
18,758;1991;1;RWA;;
19,6868;1991;2;RWA;;
20,0648;1991;3;RWA;;
19,2285;1991;4;RWA;;
19,3845;1991;5;RWA;;
19,4461;1991;6;RWA;;
18,7534;1991;7;RWA;;
19,1207;1991;8;RWA;;
19,5632;1991;9;RWA;;
19,8606;1991;10;RWA;;
18,8336;1991;11;RWA;;
19,1698;1991;12;RWA;;
19,6577;1992;1;RWA;;
20,1781;1992;2;RWA;;
20,1482;1992;3;RWA;;
19,6346;1992;4;RWA;;
19,0577;1992;5;RWA;;
19,1086;1992;6;RWA;;
18,7629;1992;7;RWA;;
18,6887;1992;8;RWA;;
19,5581;1992;9;RWA;;
19,8636;1992;10;RWA;;
18,7121;1992;11;RWA;;
18,9411;1992;12;RWA;;
18,3513;1993;1;RWA;;
17,994;1993;2;RWA;;
19,2874;1993;3;RWA;;
19,1584;1993;4;RWA;;
18,9784;1993;5;RWA;;
19,411;1993;6;RWA;;
18,8268;1993;7;RWA;;
20,898;1993;8;RWA;;
19,2259;1993;9;RWA;;
19,1729;1993;10;RWA;;
21,173;1993;11;RWA;;
19,6191;1993;12;RWA;;
18,1337;1994;1;RWA;;
19,491;1994;2;RWA;;
18,8552;1994;3;RWA;;
19,1402;1994;4;RWA;;
19,7057;1994;5;RWA;;
19,0312;1994;6;RWA;;
18,0232;1994;7;RWA;;
19,78;1994;8;RWA;;
19,795;1994;9;RWA;;
19,8167;1994;10;RWA;;
19,5777;1994;11;RWA;;
19,2216;1994;12;RWA;;
18,9876;1995;1;RWA;;
19,5672;1995;2;RWA;;
19,6973;1995;3;RWA;;
20,2399;1995;4;RWA;;
19,5037;1995;5;RWA;;
19,5331;1995;6;RWA;;
19,1238;1995;7;RWA;;
21,3034;1995;8;RWA;;
19,6374;1995;9;RWA;;
20,153;1995;10;RWA;;
21,1439;1995;11;RWA;;
19,7898;1995;12;RWA;;
19,8145;1996;1;RWA;;
20,0689;1996;2;RWA;;
19,1685;1996;3;RWA;;
19,3851;1996;4;RWA;;
19,2056;1996;5;RWA;;
19,1484;1996;6;RWA;;
19,5718;1996;7;RWA;;
19,7689;1996;8;RWA;;
19,9948;1996;9;RWA;;
19,9363;1996;10;RWA;;
19,07;1996;11;RWA;;
19,8371;1996;12;RWA;;
20,158;1997;1;RWA;;
19,9143;1997;2;RWA;;
19,3754;1997;3;RWA;;
19,9206;1997;4;RWA;;
20,186;1997;5;RWA;;
19,5164;1997;6;RWA;;
19,4803;1997;7;RWA;;
19,461;1997;8;RWA;;
20,4109;1997;9;RWA;;
19,9483;1997;10;RWA;;
19,815;1997;11;RWA;;
19,8022;1997;12;RWA;;
19,9464;1998;1;RWA;;
20,5313;1998;2;RWA;;
19,8176;1998;3;RWA;;
19,1454;1998;4;RWA;;
19,6737;1998;5;RWA;;
19,4237;1998;6;RWA;;
19,6082;1998;7;RWA;;
19,3486;1998;8;RWA;;
19,6338;1998;9;RWA;;
19,6911;1998;10;RWA;;
20,4753;1998;11;RWA;;
19,7261;1998;12;RWA;;
19,5626;1999;1;RWA;;
20,6311;1999;2;RWA;;
19,5528;1999;3;RWA;;
19,5684;1999;4;RWA;;
19,0535;1999;5;RWA;;
19,8053;1999;6;RWA;;
19,0074;1999;7;RWA;;
19,7651;1999;8;RWA;;
19,7302;1999;9;RWA;;
19,0658;1999;10;RWA;;
19,2119;1999;11;RWA;;
19,3944;1999;12;RWA;;
20,0104;2000;1;RWA;;
20,0226;2000;2;RWA;;
19,7804;2000;3;RWA;;
20,2662;2000;4;RWA;;
20,2681;2000;5;RWA;;
19,2026;2000;6;RWA;;
19,0864;2000;7;RWA;;
20,8904;2000;8;RWA;;
19,9294;2000;9;RWA;;
19,4491;2000;10;RWA;;
20,2022;2000;11;RWA;;
18,978;2000;12;RWA;;
19,9642;2001;1;RWA;;
21,3668;2001;2;RWA;;
20,3529;2001;3;RWA;;
20,9641;2001;4;RWA;;
22,1951;2001;5;RWA;;
19,5451;2001;6;RWA;;
19,9154;2001;7;RWA;;
20,8209;2001;8;RWA;;
20,5077;2001;9;RWA;;
20,1802;2001;10;RWA;;
19,6721;2001;11;RWA;;
19,4252;2001;12;RWA;;
19,3622;2002;1;RWA;;
19,8072;2002;2;RWA;;
20,5501;2002;3;RWA;;
21,0281;2002;4;RWA;;
20,187;2002;5;RWA;;
20,2139;2002;6;RWA;;
21,2769;2002;7;RWA;;
21,2849;2002;8;RWA;;
21,2226;2002;9;RWA;;
20,2581;2002;10;RWA;;
20,2536;2002;11;RWA;;
20,5441;2002;12;RWA;;
20,6972;2003;1;RWA;;
20,8678;2003;2;RWA;;
20,8509;2003;3;RWA;;
20,634;2003;4;RWA;;
20,5575;2003;5;RWA;;
19,8441;2003;6;RWA;;
19,735;2003;7;RWA;;
20,2884;2003;8;RWA;;
20,8278;2003;9;RWA;;
20,9112;2003;10;RWA;;
21,1696;2003;11;RWA;;
21,5817;2003;12;RWA;;
21,2635;2004;1;RWA;;
20,8085;2004;2;RWA;;
20,6856;2004;3;RWA;;
19,3524;2004;4;RWA;;
19,5488;2004;5;RWA;;
19,6249;2004;6;RWA;;
19,9555;2004;7;RWA;;
21,0946;2004;8;RWA;;
20,3221;2004;9;RWA;;
20,3863;2004;10;RWA;;
19,4155;2004;11;RWA;;
19,5302;2004;12;RWA;;
19,0116;2005;1;RWA;;
21,7349;2005;2;RWA;;
21,2705;2005;3;RWA;;
20,9464;2005;4;RWA;;
19,6636;2005;5;RWA;;
20,2421;2005;6;RWA;;
19,8809;2005;7;RWA;;
20,6423;2005;8;RWA;;
20,8124;2005;9;RWA;;
20,2427;2005;10;RWA;;
21,8064;2005;11;RWA;;
22,2249;2005;12;RWA;;
20,1376;2006;1;RWA;;
20,3686;2006;2;RWA;;
20,3456;2006;3;RWA;;
20,5669;2006;4;RWA;;
18,4792;2006;5;RWA;;
19,9902;2006;6;RWA;;
19,7177;2006;7;RWA;;
20,8943;2006;8;RWA;;
19,4545;2006;9;RWA;;
21,2377;2006;10;RWA;;
21,1779;2006;11;RWA;;
19,7003;2006;12;RWA;;
19,8741;2007;1;RWA;;
21,5876;2007;2;RWA;;
20,8428;2007;3;RWA;;
21,1867;2007;4;RWA;;
21,1787;2007;5;RWA;;
18,9755;2007;6;RWA;;
19,0092;2007;7;RWA;;
19,6793;2007;8;RWA;;
20,6129;2007;9;RWA;;
20,7912;2007;10;RWA;;
18,2157;2007;11;RWA;;
20,3805;2007;12;RWA;;
20,4877;2008;1;RWA;;
21,2902;2008;2;RWA;;
20,567;2008;3;RWA;;
19,1157;2008;4;RWA;;
19,9744;2008;5;RWA;;
19,4207;2008;6;RWA;;
19,8997;2008;7;RWA;;
20,9091;2008;8;RWA;;
20,583;2008;9;RWA;;
19,9879;2008;10;RWA;;
21,4484;2008;11;RWA;;
19,1644;2008;12;RWA;;
22,1787;2009;1;RWA;;
20,865;2009;2;RWA;;
20,3421;2009;3;RWA;;
19,7118;2009;4;RWA;;
20,2689;2009;5;RWA;;
19,9982;2009;6;RWA;;
20,8476;2009;7;RWA;;
21,6179;2009;8;RWA;;
21,2993;2009;9;RWA;;
20,8913;2009;10;RWA;;
20,9696;2009;11;RWA;;
21,5431;2009;12;RWA;;
20,7673;2010;1;RWA;;
20,703;2010;2;RWA;;
19,8443;2010;3;RWA;;
21,7434;2010;4;RWA;;
20,0012;2010;5;RWA;;
20,1856;2010;6;RWA;;
19,7631;2010;7;RWA;;
20,3337;2010;8;RWA;;
20,9987;2010;9;RWA;;
20,4749;2010;10;RWA;;
21,1783;2010;11;RWA;;
21,0308;2010;12;RWA;;
20,4787;2011;1;RWA;;
21,1296;2011;2;RWA;;
21,2771;2011;3;RWA;;
20,9055;2011;4;RWA;;
20,504;2011;5;RWA;;
19,4149;2011;6;RWA;;
19,9479;2011;7;RWA;;
19,338;2011;8;RWA;;
20,1802;2011;9;RWA;;
19,4987;2011;10;RWA;;
19,0167;2011;11;RWA;;
20,7341;2011;12;RWA;;
18,5049;2012;1;RWA;;
22,1276;2012;2;RWA;;
19,9042;2012;3;RWA;;
19,7646;2012;4;RWA;;
19,3665;2012;5;RWA;;
19,1026;2012;6;RWA;;
19,6012;2012;7;RWA;;
19,2996;2012;8;RWA;;
21,5106;2012;9;RWA;;
21,1938;2012;10;RWA;;
19,4828;2012;11;RWA;;
20,7145;2012;12;RWA;;
19,8985;2013;1;RWA;;
19,9991;2013;2;RWA;;
20,6793;2013;3;RWA;;
17,6878;2013;4;RWA;;
20,2941;2013;5;RWA;;
19,1106;2013;6;RWA;;
20,6779;2013;7;RWA;;
19,2644;2013;8;RWA;;
21,6335;2013;9;RWA;;
19,6668;2013;10;RWA;;
20,2546;2013;11;RWA;;
20,4023;2013;12;RWA;;
20,1597;2014;1;RWA;;
21,5017;2014;2;RWA;;
20,4995;2014;3;RWA;;
18,9785;2014;4;RWA;;
20,9722;2014;5;RWA;;
20,553;2014;6;RWA;;
20,606;2014;7;RWA;;
19,9942;2014;8;RWA;;
19,9542;2014;9;RWA;;
20,1451;2014;10;RWA;;
19,2946;2014;11;RWA;;
19,9005;2014;12;RWA;;
19,1499;2015;1;RWA;;
19,9679;2015;2;RWA;;
19,3557;2015;3;RWA;;
19,749;2015;4;RWA;;
19,4751;2015;5;RWA;;
19,5327;2015;6;RWA;;
19,9668;2015;7;RWA;;
19,6552;2015;8;RWA;;
19,8384;2015;9;RWA;;
21,4652;2015;10;RWA;;
19,5451;2015;11;RWA;;
20,0184;2015;12;RWA;;
