"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"41475","World","Maize",494393020,533774898,477207493,568650520,517286851,586134845,584401847,615072804,607426254,592030667,615143531,603544019,645048171,729511789,714185792,707932497,793055503,829236755,820069886,851348928,886007062,874240510,1015400446,1038330655,1010609468
"41479","World","Maize, green",7767040,7550511,7280585,8648644,8333921,8441529,8602899,8921515,8967953,9651153,10119053,10173351,10518242,10491270,10505639,10535280,10641723,10976699,11113522,10503560,10698774,10878503,10990360,11925389,12027859
"41483","World","Mangoes, mangosteens, guavas",17891776,18470701,19955795,21874265,23009153,22715854,23929824,22894457,23757986,24927642,25101822,26407631,29957062,29854885,31897894,34135354,35311277,36182541,35407375,37539772,40083200,42418914,44510869,45855908,46333037
"41486","World","Manila fibre (abaca)",82569,85398,81829,84272,85101,94510,92722,97471,99855,95655,100048,91197,99922,107279,105311,99927,100502,102396,100067,101610,104647,104761,102039,105889,107343
"41489","World","Mat",389745,381468,512810,526152,571796,549077,654801,777673,846638,872266,1024875,935115,875744,731926,768911,800563,815974,749248,748351,766518,774524,821534,842650,931825,881581
"41492","World","Melons, other (inc.cantaloupes)",14092013,14815060,15555602,15950740,16238771,17977585,16850528,18026430,18823228,19844385,24369447,25832801,25154698,25688049,27457196,28440880,29288627,30726751,27231563,32292628,32350410,28628373,29723606,30146285,29974647
"41496","World","Melonseed",546908,566060,490473,469867,546424,570773,524003,603744,530327,595614,608533,638521,677340,698143,730481,729404,777205,738471,665681,772187,830331,880104,870179,909347,913279
"41500","World","Millet",25041572,29936291,26515642,28050180,25819622,28595613,27459403,29080187,27321979,27673741,28906696,23958776,34823880,29641365,31004888,32000224,33669294,34401318,25915085,32805831,27058875,26649147,26413944,28442614,28624098
"41504","World","Mushrooms and truffles",2207269,2415257,2469250,2680221,2776225,2955838,3132667,3604307,3940057,4189812,4504708,4702113,4895671,5261970,5270202,5512046,5914400,6901908,7201974,7422787,8435395,9646813,9813898,10408485,10911329
"41507","World","Mustard seed",377397,380922,483515,552353,487522,476431,535669,552939,635032,503694,398454,522481,704613,796616,572578,464545,417200,544150,704080,623527,589032,474129,524925,681811,533819
"41511","World","Nutmeg, mace and cardamoms",54527,56670,62862,63385,63895,70180,70343,63696,55838,67300,71548,78558,84133,76845,79965,86061,80455,89080,70819,66669,73974,91402,96243,107091,107176
"41514","World","Nuts, nes",472993,428394,540292,488575,538436,540721,571681,535961,647948,608601,704122,632144,720401,708777,723394,722351,824518,804964,834728,826771,845615,867286,877768,888922,921771
"41518","World","Oats",33493667,34577088,35862422,33858880,28829910,31153520,32193956,26268522,24343797,26139923,26960107,25908374,25483544,26782060,23260833,23551008,24972804,26134366,23275800,19703339,22607484,21216193,23797171,22828921,22396331
"41522","World","Oil, palm fruit",63309789,67369074,79168254,81729104,88598733,93570455,99425843,99120090,114629058,120703115,129154833,135824239,150608938,163720777,182229426,196209270,193360849,213153405,216148207,223437286,244090399,256256718,264745322,286904793,299899038
"41526","World","Oilseeds nes",1488510,1509106,1507491,1687508,1703136,1687996,1839492,1736475,1868564,1918393,2130312,2106445,2094304,2250150,2350737,2512979,2465467,2649901,2833517,2850441,3330732,3624339,3728159,4070077,4339974
"41530","World","Okra",3840575,3999850,4042026,4747363,5698024,5648045,5535082,5073750,5341368,5421051,5410558,5442173,5720218,5923359,5787640,6338276,6700375,6618993,7077791,7426293,7994721,9694402,9627429,9787749,9091920
"41534","World","Olives",12811893,10926590,10929158,11473079,10210858,15457156,15101138,14844705,14083777,15654214,15334342,15965255,18463962,18051284,15965163,18712972,16979434,17781851,19022164,20418234,21228393,17683520,22025129,16208881,19340999
"41537","World","Onions, dry",31445291,33490498,34258562,35887922,39432873,40695848,40583644,45305370,48562690,49814864,51722101,52461256,56097718,62203275,65537577,67954198,73596756,74862850,74308631,79075029,85169748,82492053,84577917,89216889,91170161
"41541","World","Onions, shallots, green",2961910,2977406,3381645,3653859,3680091,3696828,3786948,3725913,4034988,4104956,4463599,4616733,4598898,4899994,4706337,5091962,5048697,5215339,5173607,5086320,5270173,5501006,5653709,5336413,5418704
"41545","World","Oranges",52003473,54076705,55461929,54816125,58466680,60769923,65643046,61667926,61743314,63849044,60146102,62083438,59871745,64939021,63152903,65409732,65264153,69338257,68451279,70555991,72388652,70352735,73112597,72357244,72794288
"41548","World","Papayas",3994695,4313406,5015855,5475159,5691464,5440368,6434852,6682811,6898873,7211699,8598553,8478136,8214308,8705306,8256032,9118717,9632566,10073788,10590738,10784883,11296221,12013955,12358964,12698728,12077444
"41551","World","Peaches and nectarines",9465071,10909633,10872865,11625817,10922738,11735424,11143873,11477917,13309929,13278259,13914657,14809988,15438668,16693820,18026274,18378439,19509076,19714894,20433574,20540957,21282597,21279132,21851523,22950087,24379827
"41554","World","Pears",9049246,10395151,10488140,11318671,12481182,13463077,14093000,14856342,15392603,16270678,16404271,16902491,17569952,18434334,19367777,19939875,20945371,21126864,22455813,22558042,24060201,24301149,25313039,26002517,26763031
"41557","World","Peas, dry",12342452,13411894,14815058,14323150,11470157,10850755,12152880,12389764,10953609,10712081,10352939,9616606,9887031,11743962,11279376,9775404,9105834,9726004,10380632,10328417,10266570,10549708,11219365,11661582,12043280
"41561","World","Peas, green",7483941,7873366,7725915,8840205,9357579,9172625,10003890,10737530,11402667,12186567,12408085,11780637,12394331,12650735,13157971,14099001,14679292,14925439,15746782,15985048,16970199,17065688,17429432,17457136,19435526
"41564","World","Pepper (piper spp.)",284301,242505,243541,224650,238481,240517,237364,258875,305017,315091,359455,399029,421861,427070,446847,467268,461797,446014,457943,418426,419468,414382,434960,460155,508660
"41567","World","Peppermint",22864,31360,39983,57659,57682,60832,56760,65412,88307,43135,60791,60876,118257,76874,69780,92513,73660,72021,59445,80767,62931,106385,95164,92731,107594
"41570","World","Persimmons",1144739,1385214,1333867,1481715,1615725,1693119,1830755,2073823,2285503,2431107,2505054,2726298,2783882,2950130,3324283,3406425,3736802,3985828,4092715,4078892,4485019,4823046,4907270,5217695,5262575
"41573","World","Pigeon peas",2787597,2570766,2786131,3150244,2604036,2809392,3151552,2343974,3274166,3405737,3114606,3148109,3144086,3359683,3395941,3932334,3601576,4301198,3518454,3890137,4166945,3972237,4466653,4755080,4406649
"41577","World","Pineapples",11623562,12307118,13116193,12947950,13066917,12867970,13293276,13202075,14893982,15106019,15639849,15782956,16122804,16740328,17781383,19829758,20087356,19745722,20403894,21472968,22942450,24120521,24683553,25425281,25866692
"41580","World","Pistachios",333219,351394,400873,348410,397967,439117,345407,517168,306069,552569,298326,520954,475219,444989,517892,667169,751911,527579,555539,718573,624436,759767,679556,884654,1023865
"41583","World","Plantains and others",27288532,27461305,28389949,29251669,29386315,30212820,30390046,30365929,29851250,31133732,32576683,32652385,32949499,33234993,33821308,34458095,35537357,30483608,30835823,31749571,32189827,33295121,33705420,35068687,35713826
"41586","World","Plums and sloes",5907078,6003768,6202014,6319838,6191588,7850525,7781711,7405120,8060879,8411169,8507519,8404492,9800112,9502828,9830037,10524890,9559781,10167761,10782348,10712515,11053832,10873542,11325235,11441155,11630094
"41589","World","Poppy seed",46725,29489,24585,52228,74856,31394,44636,73140,84853,45934,59508,53600,90521,69660,78521,86480,67448,89455,100136,97175,107185,49983,69837,83259,101306
"41593","World","Potatoes",256990489,278978102,304620094,270202139,285332356,310493373,301077285,297833504,296077179,322776909,305494691,309805345,307594346,328181112,317670677,297111360,314208463,329400666,334135620,332513046,374484314,369073364,374721105,380967206,376811720
"41597","World","Pulses, nes",4092166,2832053,3416127,3475072,3646734,3213011,3387309,3243074,3202540,3271357,3761079,3785075,3496885,3413209,3165512,3224532,3219520,3242129,3346859,3595071,3640423,4217669,4562293,4713678,4468558
"41601","World","Pumpkins, squash and gourds",10608339,11450186,13000011,13117608,13896249,14879661,15340903,15678711,15845599,17274902,17784405,19061609,20154740,20561670,20196330,20631523,21347452,21647077,22307871,22763108,23661986,23917255,24522500,25107419,25256633
"41604","World","Pyrethrum, dried",17281,20129,19556,17633,14188,11293,9351,10333,13667,11718,11826,12499,11175,10859,11140,12927,4509,5153,4300,5468,7459,8195,8738,9821,8946
"41608","World","Quinces",300338,336290,344911,350472,331713,365914,365755,395293,412824,427348,434306,442535,459108,430633,472325,466972,489884,480634,512592,537350,572467,602948,676754,660233,694547
"41611","World","Quinoa",38367,22820,36779,36456,32995,40123,50358,49400,51849,52626,45886,54846,55540,52326,58443,57962,59115,57777,74353,80069,84644,97862,118175,186147,193822
"41615","World","Ramie",69406,70218,76197,121895,152002,146650,141624,125374,122501,163529,199541,241680,248328,258086,280189,290619,294479,253768,214545,192526,161770,133289,122758,118570,111183
"41618","World","Rapeseed",27853679,26742428,26224451,29724771,34131244,30422865,34952542,35680014,43143872,39552373,35975581,35313471,35875531,46441647,49889642,48661360,50573117,56873210,62209010,59850184,62789690,62721024,73097419,74461973,71171010
"41622","World","Raspberries",283713,333460,326810,333131,339845,343925,345188,377320,416978,422767,449006,490578,463443,533086,535312,534077,517065,523797,554092,521694,597424,566558,584524,624166,643052
"41625","World","Rice, paddy",518515198,527880217,529599457,538592267,547161910,568659290,577136813,578813849,611177382,598668913,600246854,571051413,586931536,607348747,634225704,640705682,656556275,687050572,685656732,701108595,726375708,736261173,741986874,742425600,740084696
"41629","World","Roots and tubers, nes",5063729,5373169,5701352,6099216,6363029,6489592,6669903,6906543,7102184,7308555,7581572,7808959,8072576,8372953,8617885,8898114,9029962,8992760,8975526,8950085,9400643,9798676,9809301,9980906,10286708
"41633","World","Rubber, natural",5182161,5418239,5605708,5821013,6078169,6346189,6513276,6568697,6733474,7095374,7483609,7719387,8410504,9260847,9522147,10372403,10603158,10749490,10269948,10838844,11593272,12663007,13005417,13257891,13205384
"41636","World","Rye",29020285,30490821,27468553,22878286,23208815,23068701,25318421,21117905,20208685,20121357,23339173,20925854,14605531,17687596,15159241,12650622,15173935,18083503,18218910,11936752,13105737,14496501,16660623,15249323,12995806
"41640","World","Safflower seed",608086,551032,782409,865558,848362,852963,872524,606742,834574,624738,558950,525736,681807,635880,582956,539739,631696,638220,664005,664656,678177,843899,721525,729467,824602
"41644","World","Seed cotton",60315419,52652572,47846737,53002262,56800413,55421857,54809942,52403764,53176645,52977850,60201504,53888313,55677104,70740263,69632449,71299215,73582029,66283345,61836649,69221444,79513641,79283172,73054159,76662938,66775889
"41648","World","Sesame seed",2186286,2526288,2266884,2328196,2521241,2824269,2490042,2426605,2642910,2858417,3056671,2808838,3092476,3356947,3398409,3596813,3627068,3725531,3865092,4321616,4712193,5406592,6005553,6529085,6172368
"41652","World","Sisal",425643,389238,313197,324994,318974,292184,335675,279429,347780,407498,299522,284339,313444,325209,334226,375483,379445,394391,415741,389878,408518,228795,266947,254377,304258
"41655","World","Sorghum",55571944,70545568,56950671,60019785,54724523,71409119,59849934,61400356,60044814,55820990,59789831,53442836,58852775,58090382,59557656,57702254,62756591,66351870,56700851,60123538,56651554,57183553,61752570,68237439,65924626
"41659","World","Soybeans",102849072,113989333,115245015,136356715,126923558,130193213,144326230,160128838,157815456,161308456,177020696,180950793,190573602,205548177,214542816,221558978,219793049,231148449,223267546,264942943,261436988,241185392,277537300,306373463,323204743
"41663","World","Spices, nes",754269,824420,1156991,1071854,923183,1062986,1070421,1172672,1197183,1258636,1203608,1110014,1318421,1369364,1548264,1530366,1671630,1665389,1681811,2103629,2427596,2269144,2339135,2333031,2141470
"41667","World","Spinach",4354236,4441661,5131291,5985882,6202092,7145157,7299660,7411078,7642652,9523582,10153489,11442118,12541802,13355121,14199557,14955710,16128482,18865343,19789848,20335174,21184463,22141613,23274869,24307535,25764880
"41670","World","Strawberries",2400679,2419127,3193788,3392771,3583707,3595683,3671592,3872922,4294230,4468646,4467723,4615587,5042440,5493498,5731209,5805915,5838607,5994328,6593537,6567872,6726355,7382136,7877787,8149667,8743917
"41673","World","String beans",1399163,1469747,1483357,1647886,1616536,1707351,1678672,1684919,1782299,1906279,1812215,1908106,1960932,2075177,2075745,2168567,2041381,2087478,2114890,2065762,1925255,1924242,1848353,1861907,1855197
"41676","World","Sugar beet",285129009,281711742,282190566,254453778,264504932,264461322,267970311,263030081,260565507,250148599,230315030,259607018,232734275,251589379,253737449,253949575,246894685,221119239,227925780,228306986,278726573,269539263,247680490,270252518,244731824
"41679","World","Sugar cane",1086955621,1107581109,1020881319,1084097363,1163366854,1218890120,1246425302,1263674255,1282128487,1252668869,1257665371,1326773973,1371880997,1333138427,1306307695,1417376025,1605136205,1721251533,1677610603,1683040035,1794327152,1830940831,1901685780,1884729412,1886875329
"41683","World","Sugar crops, nes",746050,747580,759470,772000,771000,714762,735125,768994,803000,758000,781000,784400,879300,873800,918700,970500,907720,877466,899866,900133,944160,929269,946149,989550,952734
"41686","World","Sunflower seed",22976150,22084363,20204564,22021122,26402720,24951953,23441630,25186971,29276882,26549550,20577730,24575058,27606336,26141787,30776502,31798158,26491015,36295872,32832614,31453155,40135571,36607614,45295576,42584137,44369319
"41690","World","Sweet potatoes",123695347,123235349,131539781,125483486,135995270,141999140,121314197,134820581,147211692,139705138,136123436,136725258,130916594,130798687,127853291,106705955,101277380,103260312,103138058,102433607,105401235,101813946,103399006,104574239,103880917
"41694","World","Tallowtree seed",775000,770000,780000,795000,780000,785000,790000,8e+05,810281,820000,835000,850000,865000,870000,890000,9e+05,920000,950000,965000,957271,950000,985000,995000,992000,998157
"41697","World","Tangerines, mandarins, clementines, satsumas",13687269,14047621,14519269,15063368,16145008,15863954,19091246,17656178,20101579,18371453,20927474,21275195,21980918,23468262,24001638,25948160,20430235,21371050,22353159,23955498,27307216,27769342,28842707,30551955,32968646
"41700","World","Taro (cocoyam)",5539485,5556181,6037884,5971654,6237466,6504203,7205520,9297408,9701614,9764987,9952863,10529540,10805666,10987448,11516053,11911042,11629940,12144476,9622187,9465410,9548644,9865741,9642307,10131744,10134023
"41704","World","Tea",2700041,2747607,2880565,2887670,2862765,2957700,3063487,3259671,3355901,3231081,3358453,3417525,3485118,3620929,3873995,3851685,4172945,4266646,4311888,4622149,4839876,5042073,5329138,5512282,5661855
"41707","World","Tobacco, unmanufactured",7555149,8326998,8339125,6450658,6269768,7392959,8943814,6878953,6970729,6686406,6105354,6409541,5998488,6558256,6721309,6542339,6165658,6646852,7138407,6942801,7480249,7591235,7615414,7285720,6985341
"41710","World","Tomatoes",75886851,73722472,77056031,82447988,86485979,92680709,89241314,95084458,108942713,109260326,106719379,115763266,118207723,127029246,128331546,130451057,137155366,141595035,155245862,153240438,159440489,163355685,164972148,172499120,174122499
"41713","World","Triticale",4742970,4411529,4977831,4759585,6193433,7448345,7933758,8775242,8311408,9111497,10825346,11962946,10518879,14240277,13312756,11703774,12123313,14240145,15664683,13740395,13556983,13651756,14463671,16953509,16340145
"41717","World","Tung nuts",444638,521900,520443,490566,459562,462524,531264,493156,505369,499724,469082,430175,414753,439597,429851,446936,421301,430781,428694,495862,500607,491479,483008,480879,477455
"41720","World","Vanilla",3203,3584,4235,3570,3890,4116,4007,4574,4341,3987,4738,5310,4828,5840,7500,9060,9347,9321,9211,8282,8629,8079,7627,7166,7268
"41723","World","Vegetables, fresh nes",135068209,144910859,155435213,161088276,165884323,171931203,175538076,178531282,188062708,211597074,227164657,226686848,237157678,224326795,231747450,241928357,244642917,249351806,248542218,259721091,260792753,271900678,277946312,284826209,287883795
"41727","World","Vegetables, leguminous nes",971632,1018745,949949,951442,962854,1023352,1023895,1063126,1132569,1072463,1118826,1159420,1442772,1595763,1484443,1523456,1479838,1586623,1785243,1734591,1636148,1577221,1675152,1616280,1588165
"41730","World","Vetches",1257176,1185964,1069692,1061006,1021271,1281813,1346668,949289,901667,1040752,1115860,1112802,1260026,1277660,1083284,1239062,981554,980734,833934,746025,940049,945145,932990,922835,982809
"41734","World","Walnuts, with shell",919163,928410,1095405,1044211,1057919,1078772,1124462,1180037,1243562,1271751,1313923,1402300,1579057,1557863,1804165,1854599,1983722,2242179,2475300,2767609,3198938,3660147,3007937,3385873,3589651
"41737","World","Watermelons",35060182,36291944,38244617,38392833,41622510,47648805,59830269,61285563,73251687,76695376,83465096,90459264,88567212,88209608,91168904,94411222,93998188,94579114,98584956,101210728,102402246,105257242,108078173,111507074,113708019
"41741","World","Wheat",547820746,565111965,564739850,525435518,544357722,578616482,614651068,596175828,584763307,584999207,588243714,591981120,550053296,634873110,626943103,614538247,606681080,681015069,684192213,640327135,697697675,672724051,710956882,733534429,736984917
"41745","World","Yams",27231042,30000206,32290197,33145326,33268640,34134429,35547393,37101513,39010769,39643691,40084374,42590710,44271700,46955776,49157422,52351044,47162821,52869461,47737133,56740979,53122678,53934958,57957801,67971793,68434106
"41749","World","Yautia (cocoyam)",194109,177573,196893,277012,301907,287858,290143,289610,365336,378062,377772,425802,511808,551895,489321,454267,478304,509735,480916,389299,394203,447515,480799,546286,517426
"41756","World","Cereals,Total",1890312366,1973461767,1904042419,1953794484,1899283855,2061292843,2095642443,2085339894,2082483509,2058631973,2104811806,2053503477,2073717026,2286046303,2266202021,2255582216,2348105972,2521654497,2492284837,2466501240,2588114778,2562046409,2768023350,2823732885,2795547146
"41760","World","Citrus Fruit,Total",82393614,85125886,88401151,87956337,93380083,96163379,105479825,99977904,104378463,106022381,105532476,108030409,106931562,113782940,111802723,117520042,119872661,125915092,126993599,129263266,134020206,134241631,141682421,140444729,144876944
"41763","World","Coarse Grain, Total",823976422,880469585,809703111,889766699,807764223,914017072,903854562,910350217,886542819,874963853,916321239,890470944,936732195,1043824446,1005033214,1000338286,1084868617,1153588856,1122435892,1125065510,1164041394,1153061185,1315079595,1347772857,1318477533
"41766","World","Fibre Crops Primary",5694257,5358071,5095937,5178778,5095213,5522178,5598210,4782536,4882734,5074414,5334383,5626596,5587446,5578507,5853839,5669328,5382710,5235657,5176813,4830342,5499452,5382921,5330828,5359720,5263428
"41770","World","Fruit excl Melons,Total",356384985,385314384,393389523,398727545,412955926,431028171,447116491,444856976,467101375,479564404,483201676,492653492,507597137,531420414,542498783,564067286,578740533,592474721,609394062,619827336,644863010,654386268,685853979,691889867,709982741
"41773","World","Jute & Jute-like Fibres",3663196,3576531,3461874,3334152,3032379,3633833,3779427,3082335,3002169,3065546,3371222,3256254,3150768,2904407,3101448,3207357,3183612,3034431,3333069,3085112,3852942,3713841,3671679,3635733,3492943
"41775","World","Oilcakes Equivalent",126049442,134119964,134614932,155801479,153315195,153939748,166359433,181801146,186020990,186100285,194041906,197617239,208784536,226494653,239348315,242708975,241335851,259464004,254715183,287810995,290508295,274050610,315226099,337945664,350052245
"41778","World","Oilcrops Primary",58035551,59307553,59156901,66457587,68220917,68715533,71711702,76728460,80338770,79794150,79078015,80492873,85807577,92077258,97744341,97964396,97426829,106553791,105840553,114073663,118167989,113244695,129814403,133267617,136153913
"41782","World","Pulses,Total",56484216,53221485,55862619,57233709,56757101,54572984,55792565,56703894,58095256,56077397,56228385,59291585,59232975,60642394,61213300,62398541,61655746,63181670,64641471,71392208,69799997,74425146,77974767,78074576,77573013
"41786","World","Roots and Tubers,Total",579120510,605327785,643571240,605678476,629280045,658258332,633850254,648862502,668316001,695423997,681301502,690531326,694388758,729680600,721839405,701068454,710761190,738254165,739090303,751190908,805777876,806369921,817520565,848503772,846673257
"41790","World","Treenuts,Total",5224129,5424464,5538371,5911912,5742271,6097790,6614756,6635545,7424899,7633297,7818888,8695557,9014623,9168419,10283075,11364146,12008154,13018381,13028288,13865293,14982410,15564957,14934233,15119381,16779742
"41794","World","Vegetables Primary",468578446,485080205,515945042,540499592,570398648,608144007,628244192,651925032,707149492,778973020,807923476,837710453,864582495,874185472,898450812,932177138,966513335,1001452606,1026480833,1055025152,1089646719,1112403337,1135643731,1171968720,1195200731
"41798","World","Vegetables&Melons, Total",468578446,485080205,515945042,540499592,570398648,608144007,628244192,651925032,707149492,778973020,807923476,837710453,864582495,874185472,898450812,932177138,966513335,1001452606,1026480833,1055025152,1089646719,1112403337,1135643731,1171968720,1195200731
